l1_text,l2_text,level,pos
Sevmek,To love,C1,noun
Şey,Thing,C1,verb
Seyretmek,To watch,C1,noun
Sıcak,"Warm, friendly",C1,noun
Şifre,Password,C1,noun
Sigara,Cigarette,C1,noun
Sigorta,Insurance,C1,noun
Şiir,Poem,C1,noun
Şikayet etmek,To complain,C1,noun
Sıkılmak,To be bored with,C1,noun
Sıkıntı,Trouble,C1,noun
Silah,Weapon,C1,noun
Silmek,To erase,C1,noun
Şimdi,Now,C1,noun
Sınav,Exam,C1,noun
Sinek,Fly (or other similar bug),C1,noun
Sınıf,Class,C1,noun
Sınır,"Border, limit",C1,noun
Sinirlenmek,To be angry,C1,noun
Sipariş vermek,To place an order,C1,noun
Sıra,"Turn, queue",C1,noun
Sirke,Vinegar,C1,noun
Şirket,Company,C1,noun
Sırt,Back,C1,noun
Şişe,Bottle,C1,noun
Sistem,System,C1,noun
Sıvı,Liquid,C1,noun
Siyah,Black,C1,noun
Siyaset,Politics,C1,noun
Soğuk,Cold,C1,noun
Sohbet etmek,To chat,C1,noun
Sokak,"Street, side road",C1,noun
Sokmak,"To insert, to sting",C1,verb
Sol,Left,C1,noun
Son,Last,C1,noun
Sonbahar,Fall,C1,noun
Sonra,After,C1,noun
Sonsuz,Forever,C1,adj
Sonuç,Result,C1,noun
Sormak,To ask,C1,noun
Soru,Question,C1,noun
Sorun,Problem,C1,noun
Sos,Sauce,C1,noun
Sosyal,Social,C1,noun
Sote,Saute,C1,noun
Söylemek,To say,C1,noun
Söz,"Word, promise",C1,noun
Spor yapmak,To exercise,C1,noun
Su,Water,C1,noun
Şubat,February,C1,noun
Suç,"Crime, fault",C1,noun
Sunmak,"To offer, present",C1,noun
Şüphe,"Suspicion, doubt",C1,noun
Süre,Duration,C1,noun
Sürekli,Continuously,C1,adj
Sürmek,"To spread, to drive",C1,noun
Sürpriz,Surprise,C1,noun
Sürücü,Driver,C1,noun
Susamak,To be thirsty,C1,noun
Süt,Milk,C1,noun
Tabak,Plate,C1,noun
Tabii,Of course,C1,noun
Tahmin etmek,To predict,C1,noun
Tahta,Wood,C1,noun
Takım,Team,C1,noun
Takip etmek,To follow,C1,noun
Takmak,"To hang up, to attach",C1,noun
Taksit,Payment in installments,C1,noun
Talep,Request,C1,noun
Tam,"Exact, whole",C1,noun
Tamam,"Okay, finished",C1,noun
Tamir etmek,To repair,C1,noun
Tane,"Piece, unit",C1,noun
Tanımak,To know (person),C1,noun
Tanışmak,To meet (for the first time),C1,noun
Taraf,Side,C1,noun
Tarih,"Date, history",C1,noun
Tartışmak,To argue,C1,noun
Tarz,Style,C1,noun
Taş,Stone,C1,noun
Taşımak,"To carry, to move",C1,noun
Tatil,Vacation,C1,noun
Tatlı,"Sweet, dessert",C1,adj
Tavan,Ceiling,C1,verb
Tavşan,Rabbit,C1,noun
Tavsiye etmek,To recommend,C1,noun
Taze,Fresh,C1,noun
Tebrik etmek,To congratulate,C1,noun
Tedavi,Therapy,C1,noun
Tehlike,Danger,C1,adj
Tek,"Single, only",C1,noun
Teknik,"Technical, tecnique",C1,noun
Teknoloji,Technology,C1,noun
Tekrar,Again,C1,noun
Telefon,Telephone,C1,noun
Televizyon,Television,C1,noun
Tembel,Lazy,C1,noun
Temel,Foundation,C1,noun
Temiz,Clean,C1,noun
Temizlemek,To clean (something),C1,noun
Temmuz,July,C1,noun
Tencere,Pot,C1,noun
Tepe,Hill,C1,noun
Tepki,Reaction,C1,noun
Tepsi,Tray,C1,noun
Ter,Sweat,C1,noun
Tercih etmek,To prefer,C1,noun
Terlik,Slippers,C1,adj
Ters,Backwards,C1,noun
Teyze,Aunt (Mother's sister),C1,noun
Tip,Type,C1,noun
Top,Ball,C1,noun
Toplam,Total,C1,noun
Toplamak,To gather (or add numbers),C1,noun
Toplantı,Meeting,C1,verb
Toplum,Society,C1,adj
Toprak,Dirt,C1,noun
Toz,Dust (or powder),C1,noun
Trafik,Traffic,C1,noun
Tren,Train,C1,noun
Tüm,"All, entire",C1,noun
Tür,Type,C1,noun
Türkçe,Turkish,C1,noun
Turuncu,"Orange (the color, not the fruit)",C1,adj
Tutmak,"To catch, to hold",C1,noun
Tuvalet,Toilet,C1,noun
Tuz,Salt,C1,noun
Uç,Point,C1,noun
Üç,Three,C1,noun
Uçak,Airplane,C1,noun
Uçmak,To fly,C1,noun
Ücret,Price (or salary),C1,noun
Üçüncü,Third,C1,noun
Ucuz,Cheap,C1,adj
Ufak,Tiny,C1,noun
Uğraşmak,To struggle,C1,noun
Ulaşmak,To arrive,C1,noun
Ülke,Country,C1,noun
Uluslararası,International,C1,adj
Ummak,To hope,C1,noun
Üniversite,University,C1,noun
Ünlü,Famous,C1,adj
Unutmak,To forget,C1,noun
Ürün,Product,C1,noun
Usta,"Expert, craftsman",C1,noun
Üşümek,To be cold,C1,noun
Utanmak,To be shy,C1,noun
Uyanık,Awake,C1,noun
Üye,Member,C1,noun
Uygulamak,To apply,C1,noun
Uygun,Available,C1,noun
Uymak,"To obey, to fit",C1,noun
Uyumak,To sleep,C1,noun
Uzak,Far,C1,noun
Uzanmak,To lie down,C1,noun
Uzatmak,To extend,C1,noun
Üzgün,Sad,C1,noun
Uzman,Expert,C1,noun
Üzüm,Grapes,C1,noun
Uzun,"Long, tall",C1,noun
Vakit,Time,C1,noun
Varmak,To arrive,C1,noun
Vatandaş,Citizen,C1,noun
Vazgeçmek,To change one's mind,C1,noun
Ve,And,C1,noun
Vergi,Tax,C1,noun
Vermek,To give,C1,noun
Veya,Or,C1,noun
Vücut,Body,C1,adj
Vurmak,To hit,C1,noun
WC,Bathroom (water closet),C1,noun
Ya da,Or,C1,noun
Yabancı,Foreigner,C1,adj
Yağ,"Oil, fat",C1,noun
Yağmur,Rain,C1,noun
Yakalamak,To catch,C1,noun
Yakın,Near,C1,noun
Yaklaşık,Approximately,C1,noun
Yaklaşmak,To get closer,C1,noun
Yakmak,"To light (a fire, stove)",C1,noun
Yalnız,Alone,C1,noun
Yani,In other words,C1,noun
Yanıt,Answer,C1,noun
Yanlış,Wrong,C1,adj
Yanmak,To burn,C1,noun
Yapı,Structure,C1,noun
Yapmak,To do,C1,noun
Yaprak,Leaf,C1,noun
Yara,Injury,C1,noun
Yaratmak,To create,C1,noun
Yardım etmek,To help,C1,noun
Yarım,Half,C1,noun
Yaş,Age,C1,noun
Yasa,Law,C1,noun
Yaşam,Life,C1,noun
Yaşamak,To live,C1,noun
Yaşlı,Old (person),C1,adj
Yatak,Bed,C1,noun
Yatmak,To lie down,C1,noun
Yavaş,Slow,C1,noun
Yaygın,"Common, widespread",C1,noun
Yaz,Summer,C1,noun
Yazar,Author,C1,noun
Yazmak,To write,C1,noun
Yedek,Extra,C1,noun
Yedi,Seven,C1,noun
Yemek,To Eat,C1,noun
Yeni,New,C1,noun
Yer,"Place, floor",C1,noun
Yeşil,Green,C1,noun
Yetenek,Skill,C1,noun
Yeterli,Enough,C1,adj
Yetmiş,Seventy,C1,noun
Yıl,Year,C1,noun
Yılan,Snake,C1,noun
Yıldız,Star,C1,noun
Yine,Again,C1,noun
Yirmi,Twenty,C1,noun
Yiyecek,Food,C1,noun
Yoğun,"Thick, busy",C1,noun
Yoğurt,Yogurt,C1,noun
Yoksa,Or,C1,noun
Yol,"Road, path",C1,noun
Yön,Direction,C1,noun
Yönetici,Manager,C1,noun
Yönetmek,To lead,C1,noun
Yöntem,Method,C1,noun
Yorulmak,To be exhausted,C1,noun
Yorum,Comment,C1,noun
Yüksek,High,C1,noun
Yumurta,Egg,C1,noun
Yumuşak,Soft,C1,noun
Yurt dışı,Outside the country,C1,noun
Yurtiçi,Domestic (inside the country),C1,adj
Yürümek,To walk,C1,noun
Yuvarlak,Round,C1,noun
Yüz,"Face, 100",C1,noun
Yüzde,Percent,C1,noun
Yüzyıl,Century,C1,noun
Zafer,Victory,C1,noun
Zaman,Time,C1,noun
Zarar,Damage,C1,noun
Zarf,"Envelope, adverb",C1,noun
Zaten,"Anyway, already",C1,noun
Zayıf,"Thin, weak",C1,noun
Zehir,Poison,C1,noun
Zeki,Intelligent,C1,noun
Zemin,Ground (floor),C1,noun
Zengin,Rich,C1,noun
Zevk,Pleasure,C1,noun
Zeytin,Olive,C1,noun
Zil,Doorbell,C1,noun
Zor,Difficult,C1,noun
